AnimeName,Character,Voice_Actor,Anime_Genre,Filename,Anime_image,Is_used
Saekano: How to Raise a Boring Girlfriend,,,"Comedy, Ecchi, Harem, Romance, School",Saenai Heroine no Sodatekata - Katou.avi,48_Katou.png,
Sword Art Online,,,"Action, Adventure, Fantasy, Game, Romance",SaO - Kirito.mp4,49_Kirito.png,
Sengoku Basara,,,"Action, Historical, Martial Arts, Samurai, Super Power",Sengoku Basara - Date Masamune.mp4,50_Date Masamune.jpg,
Attack on Titan,,,"Action, Drama, Fantasy, Shounen, Super Power",Shingeki no kyojin - Sasha.avi,51_Sasha.png,
Special A,,,"Comedy, Romance, School, Shoujo",Special A -Takeshima Kei.mp4,52_Takeshima Kei.jpg,
Strawberry Panic,,,"Drama, Romance, School, Shoujo Ai",Strawberry Panic - Aoi Nagisa.avi,53_Aoi Nagisa.jpg,
Toaru Kagaku no Railgun S,,,"Action, Sci-Fi, Super Power",To Aru Kagaku no Railgun S - Misaka Mikoto.avi,54_Misaka Mikoto.png,
Tonari no Kaibutsu-kun,"Natsume, Asako","Tanezaki, Atsumi","Comedy, Romance, School, Shoujo, Slice of Life",Tonari no Kaibutsu-kun - Natsume.mp4,55_Natsume.png,
Tsubasa: Tokyo Revelations,Kurogane,"Inada, Tetsu","Action, Adventure, Drama, Fantasy, Romance, Shounen",Tsubasa Reservoir Chronicles - Kurogane.avi,56_Kurogane.jpg,
Tengen Toppa Gurren Lagann,"Lordgenome ""Spiral King""","Ikeda, Narushi","Action, Adventure, Comedy, Mecha, Sci-Fi",TTGL - Lord Genome.mp4,57_Lord Genome.PNG,
Zankyou no Terror,"Twelve ""Sphinx #2(?)""","Saito, Soma","Psychological, Thriller",Zankyou no Terror - Twelve.mp4,58_Twelve.jpg,
Zetsuen no Tempest,"Takigawa, Yoshino","Uchiyama, Kouki","Action, Drama, Fantasy, Magic, Mystery, Psychological, Shounen",Zetsuen no Tempest - Yoshino.mp4,59_Zetsuen Yoshino.png,
